window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,40,0.5489935187678284,0.875,0.125,0.875,0.44583359025418756,1.2282829793985695,0.2,0.4764999940991402,0.8447499964386225,0.19533116957172753,0.075,0.6,0.025,0.95,0.0,0.7288664061847274,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,oracle_best_of_rbf_keypoint_upper_bound,40,0.47509534002944326,0.8,0.2,0.875,0.4188615206629038,1.0461099659993864,0.175,0.44024999588727953,0.5214999942108989,0.19144727320526722,0.05,0.25,0.0,0.95,0.575,0.648367710695391,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40,0.5336666894389569,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.1817509417654946,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,selector_logreg_rbf_keypoint_no_subject,40,0.5339115762154282,0.8,0.2,0.875,0.3866422098129988,1.2348825019988692,0.1,0.4158750012516975,0.33937499672174454,0.18978921707603144,0.075,0.275,0.025,0.95,0.7,0.648367710695391,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,keypoint_residual_vehicle_transformer_no_subject,188,0.5636982979330317,0.8617021276595744,0.13829787234042554,0.723404255319149,0.5106489430478913,1.3241025013675907,0.19680851063829788,0.5098404274817477,0.7170212739642631,0.1771853340800822,0.09574468085106383,0.48404255319148937,0.0425531914893617,0.925531914893617,0.0,0.9067574083314025,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,oracle_best_of_rbf_keypoint_upper_bound,188,0.32699310393719505,0.9361702127659575,0.06382978723404255,0.9361702127659575,0.31193521182904854,0.9537313120377144,0.026595744680851064,0.29742020645991285,0.21143616827085931,0.10846045906517708,0.015957446808510637,0.10106382978723404,0.06914893617021277,0.925531914893617,0.8829787234042553,0.5183842530202907,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,188,0.33011095985179567,0.9414893617021277,0.05851063829787234,0.9148936170212766,0.3130859541607664,0.9549159427900055,0.02127659574468085,0.30026595286549407,0.19082446689618396,0.10480268023124188,0.015957446808510637,0.06382978723404255,0.06914893617021277,0.925531914893617,0.9680851063829787,0.520692098776021,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,188,0.39660310263503523,0.9308510638297872,0.06914893617021277,0.9148936170212766,0.3526283753837677,0.9950359838798424,0.047872340425531915,0.33348403736314874,0.27917553107947746,0.12105020997656303,0.015957446808510637,0.22340425531914893,0.07446808510638298,0.925531914893617,0.6808510638297872,0.6210363956970764,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,keypoint_residual_vehicle_transformer_no_subject,42,0.5983006404808509,0.9047619047619048,0.09523809523809523,0.5,0.5912665149995259,2.7175963137035772,0.23809523809523808,0.5014285750332332,0.7934523794267859,0.208155320475011,0.047619047619047616,0.40476190476190477,0.047619047619047616,0.9285714285714286,0.0,0.9571109204575173,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,oracle_best_of_rbf_keypoint_upper_bound,42,0.5032697070192712,0.9047619047619048,0.09523809523809523,0.6,0.4593858208486323,2.121092633348225,0.23809523809523808,0.4780952440840857,0.4999999950329463,0.19968458768571457,0.047619047619047616,0.2619047619047619,0.0,0.9285714285714286,0.5714285714285714,0.8092113448752195,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,rbf_kernel_ridge_context_no_subject,42,0.5714822247805078,0.8809523809523809,0.11904761904761904,0.5,0.5098802603937641,3.109326650188326,0.21428571428571427,0.5198809525796345,0.5092857141225111,0.20645945040390645,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,selector_logreg_rbf_keypoint_no_subject,42,0.5611893623512285,0.8809523809523809,0.11904761904761904,0.6,0.5387830326756152,3.148484323487567,0.23809523809523808,0.5132142780792146,0.6201190462424642,0.2082655961429385,0.047619047619047616,0.21428571428571427,0.023809523809523808,0.9285714285714286,0.6190476190476191,0.8548437107071594,B_response3s_strict_core
