sample_id,event_uid,subject,session_stamp,window_config_id,gt_peak_abs,gt_reversal_count,gt_multi_segment,is_large_response,is_difficult_peak_top20,sample_rmse__keypoint_residual_vehicle_transformer_no_subject,sample_rmse__rbf_kernel_ridge_context_no_subject,wrong_side__keypoint_residual_vehicle_transformer_no_subject,wrong_side__rbf_kernel_ridge_context_no_subject,large_response_recalled__keypoint_residual_vehicle_transformer_no_subject,large_response_recalled__rbf_kernel_ridge_context_no_subject,severe_amp_under__keypoint_residual_vehicle_transformer_no_subject,severe_amp_under__rbf_kernel_ridge_context_no_subject,peak_amp_abs_error__keypoint_residual_vehicle_transformer_no_subject,peak_amp_abs_error__rbf_kernel_ridge_context_no_subject,peak_time_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,peak_time_abs_error_s__rbf_kernel_ridge_context_no_subject,onset_delay_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,onset_delay_abs_error_s__rbf_kernel_ridge_context_no_subject,tail_abs_error__keypoint_residual_vehicle_transformer_no_subject,tail_abs_error__rbf_kernel_ridge_context_no_subject,tail_drift_risk__keypoint_residual_vehicle_transformer_no_subject,tail_drift_risk__rbf_kernel_ridge_context_no_subject,zero_crossing_mismatch__keypoint_residual_vehicle_transformer_no_subject,zero_crossing_mismatch__rbf_kernel_ridge_context_no_subject,reversal_count_exact__keypoint_residual_vehicle_transformer_no_subject,reversal_count_exact__rbf_kernel_ridge_context_no_subject,pred_multi_segment__keypoint_residual_vehicle_transformer_no_subject,pred_multi_segment__rbf_kernel_ridge_context_no_subject,sample_rmse__delta_keypoint_minus_rbf,wrong_side__delta_keypoint_minus_rbf,large_response_recalled__delta_keypoint_minus_rbf,severe_amp_under__delta_keypoint_minus_rbf,peak_amp_abs_error__delta_keypoint_minus_rbf,peak_time_abs_error_s__delta_keypoint_minus_rbf,onset_delay_abs_error_s__delta_keypoint_minus_rbf,tail_abs_error__delta_keypoint_minus_rbf,tail_drift_risk__delta_keypoint_minus_rbf,zero_crossing_mismatch__delta_keypoint_minus_rbf,reversal_count_exact__delta_keypoint_minus_rbf,pred_multi_segment__delta_keypoint_minus_rbf,rmse_change,direction_change,large_recall_change,tail_drift_change,amp_under_change,peak_time_change,onset_change
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,1.1810654401779177,6,1,0,0,0.775661826133728,1.1559497117996216,1.0,1.0,0.0,0.0,1.0,0.0,0.91946080327034,0.1438592672348022,1.7899999618530271,0.7599999904632568,2.749999985098839,0.1050000041723251,0.574717104434967,0.3677842132747173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.38028788566589355,0.0,0.0,1.0,0.7756015360355377,1.0299999713897703,2.6449999809265137,0.20693289116024977,0.0,-1.0,0.0,-1.0,improved,unchanged,unchanged,unchanged,new_under_amp,degraded_peak_time,degraded_onset
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,0.7283228635787964,14,1,0,0,0.379641979932785,0.7573572397232056,1.0,0.0,0.0,0.0,1.0,0.0,0.5095443874597549,0.2785311937332153,1.0,0.9649999141693116,1.409999996423721,0.0850000083446502,0.1008229553699493,0.1042630970478057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3777152597904206,1.0,0.0,1.0,0.23101319372653967,0.035000085830688366,1.3249999880790708,-0.0034401416778564037,0.0,0.0,0.0,-1.0,improved,new_wrong_side,unchanged,unchanged,new_under_amp,similar,degraded_onset
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605,hzh,2025_09_26_20_50_27,pre3_label3_response_coverage,0.5717697739601135,4,1,0,0,0.1759395897388458,0.3666880428791046,0.0,0.0,0.0,0.0,0.0,0.0,0.2736713290214538,0.2459719181060791,0.0950000286102294,0.2699999809265136,0.8199999928474426,0.0200000032782554,0.14433722384274,0.2100591324269771,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.19074845314025882,0.0,0.0,0.0,0.0276994109153747,-0.17499995231628424,0.7999999895691873,-0.0657219085842371,0.0,1.0,0.0,-1.0,improved,unchanged,unchanged,unchanged,unchanged,improved_peak_time,degraded_onset
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,pre3_label3_response_coverage,2.145881175994873,2,1,1,1,0.8386187553405762,0.9934884309768676,0.0,0.0,1.0,0.0,0.0,1.0,0.9131383895874025,1.5916481614112854,0.5049999952316284,0.4049999713897705,0.7599999606609344,1.1099999845027924,0.0641012191772461,0.0515425652265548,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.1548696756362914,0.0,1.0,-1.0,-0.678509771823883,0.10000002384185791,-0.3500000238418579,0.012558653950691293,0.0,1.0,0.0,-1.0,improved,unchanged,fixed_large_recall,unchanged,fixed_under_amp,degraded_peak_time,improved_onset
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,1.3226046562194824,3,1,0,0,0.4863907992839813,0.6396094560623169,0.0,0.0,0.0,0.0,0.0,0.0,0.2848126888275146,0.1924540996551513,0.2000000476837158,0.6200000047683716,0.7599999904632568,0.3050000071525574,0.2266677282750606,0.2578946137800812,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.15321865677833557,0.0,0.0,0.0,0.09235858917236328,-0.41999995708465576,0.45499998331069946,-0.03122688550502062,0.0,1.0,0.0,-1.0,improved,unchanged,unchanged,unchanged,unchanged,improved_peak_time,degraded_onset
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,0.7967429757118225,4,1,0,0,0.2251154631376266,0.3777364194393158,0.0,0.0,0.0,0.0,0.0,0.0,0.0508615374565124,0.4321925044059753,0.3200000524520874,0.4500000476837158,0.5149999856948853,0.2199999839067459,0.0885420262347906,0.1100080497562885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1526209563016892,0.0,0.0,0.0,-0.3813309669494629,-0.12999999523162842,0.29500000178813934,-0.0214660235214979,0.0,0.0,0.0,-1.0,improved,unchanged,unchanged,unchanged,unchanged,improved_peak_time,degraded_onset
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,0.518537700176239,5,1,0,0,0.3630664050579071,0.5139289498329163,1.0,1.0,0.0,0.0,0.0,0.0,0.1718957424163818,0.0769501328468322,0.5800000429153442,0.3350000381469726,0.9700000137090684,0.0549999922513961,0.033184140920639,0.0501066334545612,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.15086254477500916,0.0,0.0,0.0,0.0949456095695496,0.24500000476837164,0.9150000214576723,-0.016922492533922195,0.0,1.0,0.0,-1.0,improved,unchanged,unchanged,unchanged,unchanged,degraded_peak_time,degraded_onset
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,1.0026919841766355,5,1,0,0,0.3724461495876312,0.510627806186676,0.0,0.0,0.0,0.0,0.0,0.0,0.1360280513763427,0.2490013837814331,0.4499999284744262,0.2299998998641967,0.4649999737739563,0.5049999952316284,0.018130037933588,0.005322940647602,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.1381816565990448,0.0,0.0,0.0,-0.11297333240509042,0.22000002861022952,-0.04000002145767212,0.012807097285986,0.0,1.0,0.0,-1.0,improved,unchanged,unchanged,unchanged,unchanged,degraded_peak_time,similar
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505,gf,2025_09_26_10_52_57,pre3_label3_response_coverage,1.254542589187622,3,1,0,0,0.2548958957195282,0.3514051735401153,0.0,0.0,0.0,0.0,0.0,0.0,0.1001574993133544,0.0129021406173706,0.2799999713897705,0.5249999761581421,0.1600000262260437,0.1349999904632568,0.1371708465740084,0.1648589223623275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0965092778205871,0.0,0.0,0.0,0.08725535869598379,-0.24500000476837158,0.025000035762786893,-0.027688075788319083,0.0,0.0,0.0,-1.0,improved,unchanged,unchanged,unchanged,unchanged,improved_peak_time,similar
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,1.3070790767669678,2,1,0,0,0.5853204131126404,0.6575250029563904,0.0,1.0,0.0,0.0,1.0,1.0,0.8358929753303528,0.7389094233512878,0.0099999904632568,1.0,1.0849999710917473,0.0850000008940696,0.2196016423404216,0.1508363336324691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07220458984375,-1.0,0.0,0.0,0.09698355197906494,-0.9900000095367432,0.9999999701976777,0.0687653087079525,0.0,0.0,0.0,-1.0,improved,fixed_wrong_side,unchanged,unchanged,unchanged,improved_peak_time,degraded_onset
